,1_MAKE,1_MISS,2_MAKE,2_MISS,3_MAKE,3_MISS,4_MAKE,4_MISS,5_MAKE,5_MISS,NONE
1_MAKE,0.22950819672131148,0.11475409836065574,0.06557377049180328,0.0,0.01639344262295082,0.03278688524590164,0.01639344262295082,0.09836065573770492,0.06557377049180328,0.08196721311475409,0.2786885245901639
1_MISS,0.3333333333333333,0.1111111111111111,0.05555555555555555,0.027777777777777776,0.05555555555555555,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.16666666666666666,0.08333333333333333
2_MAKE,0.2222222222222222,0.2222222222222222,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111
2_MISS,0.3333333333333333,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111
3_MAKE,0.08333333333333333,0.16666666666666666,0.0,0.08333333333333333,0.08333333333333333,0.0,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.0,0.25
3_MISS,0.125,0.0,0.125,0.0,0.125,0.0,0.0,0.25,0.125,0.0,0.25
4_MAKE,0.3,0.2,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.1
4_MISS,0.16666666666666666,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.0,0.06666666666666667,0.13333333333333333,0.03333333333333333,0.13333333333333333,0.23333333333333334
5_MAKE,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.0,0.07692307692307693,0.23076923076923078
5_MISS,0.17391304347826086,0.30434782608695654,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.08695652173913043,0.13043478260869565,0.043478260869565216,0.043478260869565216,0.043478260869565216
NONE,0.1111111111111111,0.08888888888888889,0.011111111111111112,0.03333333333333333,0.03333333333333333,0.022222222222222223,0.0,0.06666666666666667,0.011111111111111112,0.05555555555555555,0.5666666666666667
